CustomerID	Gender	Age	Under30	SeniorCitizen	Married	Dependents	NumberOfDependents	ServiceID
8779-QRDMV	Male	78	No	Yes	No	No	0	S0001
7495-OOKFY	Female	74	No	Yes	Yes	Yes	1	S0002
1658-BYGOY	Male	71	No	Yes	No	Yes	3	S0003
4598-XLKNJ	Female	78	No	Yes	Yes	Yes	1	S0004
4846-WHAFZ	Female	80	No	Yes	Yes	Yes	1	S0005
4412-YLTKF	Female	72	No	Yes	No	Yes	1	S0006
0390-DCFDQ	Female	76	No	Yes	Yes	Yes	2	S0007
3445-HXXGF	Male	66	No	Yes	Yes	No	0	S0008
2656-FMOKZ	Female	70	No	Yes	No	Yes	2	S0009
2070-FNEXE	Female	77	No	Yes	No	Yes	2	S0010
0094-OIFMO	Female	78	No	Yes	No	Yes	1	S0011
9947-OTFQU	Male	65	No	Yes	No	No	0	S0012
9514-JDSKI	Male	77	No	Yes	Yes	No	0	S0013
7273-TEFQD	Male	67	No	Yes	No	No	0	S0014
3606-TWKGI	Male	68	No	Yes	No	No	0	S0015
4385-GZQXV	Female	68	No	Yes	No	No	0	S0016
3488-PGMQJ	Male	66	No	Yes	No	No	0	S0017
7534-BFESC	Male	69	No	Yes	No	No	0	S0018
8098-LLAZX	Female	74	No	Yes	No	No	0	S0019
0265-EDXBD	Male	76	No	Yes	Yes	No	0	S0020
2840-XANRC	Male	77	No	Yes	Yes	No	0	S0021
5020-ZSTTY	Female	70	No	Yes	No	No	0	S0022
5804-LEPIM	Female	74	No	Yes	No	No	0	S0023
0623-IIHUG	Female	77	No	Yes	No	No	0	S0024
9057-MSWCO	Male	71	No	Yes	Yes	No	0	S0025
4895-TMWIR	Male	79	No	Yes	Yes	No	0	S0026
0533-BNWKF	Female	66	No	Yes	Yes	No	0	S0027
0334-GDDSO	Male	77	No	Yes	No	No	0	S0028
5564-NEMQO	Female	80	No	Yes	No	No	0	S0029
6235-VDHOM	Female	77	No	Yes	No	No	0	S0030
5609-CEBID	Female	77	No	Yes	No	No	0	S0031
5956-VKDTT	Female	72	No	Yes	Yes	No	0	S0032
0257-ZESQC	Female	80	No	Yes	Yes	No	0	S0033
2865-TCHJW	Female	74	No	Yes	No	No	0	S0034
5192-EBGOV	Female	68	No	Yes	No	No	0	S0035
3419-SNJJD	Female	78	No	Yes	Yes	No	0	S0036
4554-YGZIH	Male	75	No	Yes	Yes	No	0	S0037
5099-BAILX	Male	77	No	Yes	Yes	No	0	S0038
4913-EHYUI	Male	80	No	Yes	Yes	No	0	S0039
1626-ERCMM	Male	75	No	Yes	Yes	No	0	S0040
5644-PDMZC	Female	69	No	Yes	No	No	0	S0041
4160-AMJTL	Female	74	No	Yes	No	No	0	S0042
0823-HSCDJ	Male	76	No	Yes	No	No	0	S0043
0067-DKWBL	Male	69	No	Yes	No	No	0	S0044
5244-IRFIH	Male	72	No	Yes	Yes	No	0	S0045
2684-EIWEO	Female	69	No	Yes	No	No	0	S0046
6683-VLCTZ	Male	73	No	Yes	No	No	0	S0047
0691-IFBQW	Female	65	No	Yes	No	No	0	S0048
3643-AHCFP	Male	74	No	Yes	Yes	No	0	S0049
9231-ZJYAM	Female	65	No	Yes	No	No	0	S0050
0727-BMPLR	Female	66	No	Yes	No	No	0	S0051
0947-MUGVO	Male	71	No	Yes	Yes	No	0	S0052
0781-LKXBR	Male	65	No	Yes	No	No	0	S0053
1907-UBQFC	Male	69	No	Yes	No	No	0	S0054
6513-EECDB	Male	75	No	Yes	Yes	No	0	S0055
7074-IEVOJ	Female	75	No	Yes	No	No	0	S0056
4750-ZRXIU	Female	68	No	Yes	No	No	0	S0057
7028-DVOIQ	Male	71	No	Yes	No	No	0	S0058
4208-UFFGW	Male	80	No	Yes	No	No	0	S0059
9889-TMAHG	Male	66	No	Yes	No	No	0	S0060
8919-FYFQZ	Male	73	No	Yes	Yes	No	0	S0061
6646-QVXLR	Male	77	No	Yes	Yes	No	0	S0062
9369-XFEHK	Female	76	No	Yes	Yes	No	0	S0063
1374-DMZUI	Female	65	No	Yes	No	No	0	S0064
1989-PRJHP	Male	75	No	Yes	Yes	No	0	S0065
4822-RVYBB	Male	75	No	Yes	No	No	0	S0066
4184-TJFAN	Female	68	No	Yes	Yes	No	0	S0067
4145-UQXUQ	Female	71	No	Yes	No	No	0	S0068
1236-WFCDV	Male	74	No	Yes	No	No	0	S0069
1271-SJBGZ	Male	77	No	Yes	No	No	0	S0070
4441-NIHPT	Female	73	No	Yes	No	No	0	S0071
8999-BOHSE	Female	68	No	Yes	No	No	0	S0072
7029-RPUAV	Male	74	No	Yes	Yes	No	0	S0073
8111-SLLHI	Male	65	No	Yes	Yes	No	0	S0074
5293-WXJAK	Female	73	No	Yes	Yes	No	0	S0075
4086-YQSNZ	Female	74	No	Yes	Yes	No	0	S0076
8399-YNDCH	Male	80	No	Yes	No	No	0	S0077
5565-FILXA	Female	76	No	Yes	No	No	0	S0078
4187-CINZD	Female	73	No	Yes	No	No	0	S0079
6818-WOBHJ	Female	70	No	Yes	Yes	No	0	S0080
9134-CEQMF	Male	75	No	Yes	Yes	No	0	S0081
8519-IMDHU	Male	74	No	Yes	Yes	No	0	S0082
3372-KWFBM	Male	76	No	Yes	No	No	0	S0083
7206-GZCDC	Female	75	No	Yes	No	No	0	S0084
1768-ZAIFU	Female	74	No	Yes	No	No	0	S0085
3793-MMFUH	Female	73	No	Yes	No	No	0	S0086
6567-HOOPW	Female	69	No	Yes	No	No	0	S0087
8621-MNIHH	Female	75	No	Yes	Yes	No	0	S0088
5419-CONWX	Female	65	No	Yes	No	No	0	S0089
7024-OHCCK	Female	77	No	Yes	No	No	0	S0090
5357-TZHPP	Male	67	No	Yes	No	No	0	S0091
0506-LVNGN	Female	78	No	Yes	No	No	0	S0092
9809-IMGCQ	Male	65	No	Yes	No	No	0	S0093
3254-YRILK	Male	74	No	Yes	No	No	0	S0094
0529-ONKER	Male	70	No	Yes	No	No	0	S0095
5240-IJOQT	Male	69	No	Yes	No	No	0	S0096
0661-XEYAN	Female	76	No	Yes	No	No	0	S0097
2660-EMUBI	Male	71	No	Yes	No	No	0	S0098
7675-OZCZG	Female	76	No	Yes	No	No	0	S0099
9391-EOYLI	Male	77	No	Yes	Yes	No	0	S0100
2761-OCIAX	Male	74	No	Yes	No	No	0	S0101
3068-OMWZA	Male	77	No	Yes	No	No	0	S0102
4154-AQUGT	Male	76	No	Yes	Yes	No	0	S0103
8017-LXHFA	Female	77	No	Yes	No	No	0	S0104
4248-QPAVC	Female	80	No	Yes	Yes	No	0	S0105
4690-LLKUA	Male	68	No	Yes	No	No	0	S0106
9490-DFPMD	Female	79	No	Yes	No	No	0	S0107
8580-AECUZ	Male	65	No	Yes	No	No	0	S0108
5047-LHVLY	Male	68	No	Yes	No	No	0	S0109
8375-DKEBR	Female	72	No	Yes	No	No	0	S0110
7279-BUYWN	Female	66	No	Yes	No	No	0	S0111
7156-MHUGY	Male	68	No	Yes	No	No	0	S0112
9606-PBKBQ	Male	69	No	Yes	Yes	No	0	S0113
3536-IQCTX	Male	76	No	Yes	Yes	No	0	S0114
3132-TVFDZ	Male	70	No	Yes	Yes	No	0	S0115
8080-DDEMJ	Male	71	No	Yes	No	No	0	S0116
6702-OHFWR	Male	75	No	Yes	No	No	0	S0117
4510-PYUSH	Female	67	No	Yes	No	No	0	S0118
8840-DQLGN	Female	65	No	Yes	Yes	No	0	S0119
4193-ORFCL	Female	80	No	Yes	No	No	0	S0120
7776-QWNFX	Male	71	No	Yes	Yes	No	0	S0121
6689-TCZHQ	Female	70	No	Yes	No	No	0	S0122
9497-QCMMS	Male	73	No	Yes	No	No	0	S0123
3424-NMNBO	Male	78	No	Yes	Yes	No	0	S0124
4514-GFCFI	Female	76	No	Yes	No	No	0	S0125
8000-REIQB	Female	73	No	Yes	No	No	0	S0126
4795-KTRTH	Female	68	No	Yes	Yes	No	0	S0127
9961-JBNMK	Male	79	No	Yes	No	No	0	S0128
6179-GJPSO	Female	67	No	Yes	No	No	0	S0129
8290-YWKHZ	Female	69	No	Yes	Yes	No	0	S0130
8051-HJRLT	Female	72	No	Yes	No	No	0	S0131
4021-RQSNY	Male	75	No	Yes	Yes	No	0	S0132
9061-TIHDA	Male	67	No	Yes	Yes	No	0	S0133
8699-ASUFO	Male	72	No	Yes	Yes	No	0	S0134
4695-WJZUE	Female	68	No	Yes	No	No	0	S0135
3988-RQIXO	Female	68	No	Yes	No	No	0	S0136
5931-FLJJF	Male	75	No	Yes	Yes	No	0	S0137
3207-OYBWH	Male	74	No	Yes	Yes	No	0	S0138
7216-EWTRS	Female	78	No	Yes	Yes	No	0	S0139
2528-HFYZX	Male	66	No	Yes	Yes	No	0	S0140
4140-MUHUG	Female	73	No	Yes	No	No	0	S0141
1587-FKLZB	Male	79	No	Yes	Yes	No	0	S0142
5440-FLBQG	Male	69	No	Yes	Yes	No	0	S0143
2774-LVQUS	Female	65	No	Yes	Yes	No	0	S0144
4612-THJBS	Female	68	No	Yes	No	No	0	S0145
4094-NSEDU	Female	79	No	Yes	No	No	0	S0146
1846-XWOQN	Female	80	No	Yes	No	No	0	S0147
3757-NJYBX	Male	77	No	Yes	Yes	No	0	S0148
9898-KZQDZ	Female	65	No	Yes	Yes	No	0	S0149
8263-JQAIK	Male	66	No	Yes	No	No	0	S0150
2205-YMZZJ	Male	75	No	Yes	No	No	0	S0151
1254-IZEYF	Female	74	No	Yes	No	No	0	S0152
9221-OTIVJ	Female	80	No	Yes	No	No	0	S0153
5908-QMGOE	Male	74	No	Yes	No	No	0	S0154
0397-GZBBC	Male	70	No	Yes	Yes	No	0	S0155
7641-EUYET	Male	76	No	Yes	Yes	No	0	S0156
8922-LIEGH	Female	72	No	Yes	No	No	0	S0157
8245-UMPYT	Female	66	No	Yes	No	No	0	S0158
5186-SAMNZ	Male	75	No	Yes	No	No	0	S0159
5373-SFODM	Male	65	No	Yes	Yes	No	0	S0160
0022-TCJCI	Male	79	No	Yes	No	No	0	S0161
5130-IEKQT	Male	73	No	Yes	No	No	0	S0162
3269-ATYWD	Male	79	No	Yes	No	No	0	S0163
0354-WYROK	Female	70	No	Yes	Yes	No	0	S0164
7576-OYWBN	Male	71	No	Yes	No	No	0	S0165
5539-TMZLF	Male	69	No	Yes	No	No	0	S0166
3336-JORSO	Female	70	No	Yes	No	No	0	S0167
6861-XWTWQ	Male	71	No	Yes	Yes	No	0	S0168
4283-FUTGF	Male	67	No	Yes	No	No	0	S0169
