ServiceID,CustomerID,NumberOfReferrals,Offer,PhoneService,MultipleLines,InternetService,InternetType,OnlineSecurity,OnlineBackup,DeviceProtection Plan,Premium Tech Support,StreamingTV,StreamingMovies,StreamingMusic,UnlimitedData,Contract,PaperlessBilling,PaymentMethod
S0001,8779-QRDMV,0,None,No,No,Yes,DSL,No,No,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal
S0002,7495-OOKFY,1,Offer E,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card
S0003,1658-BYGOY,0,Offer D,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal
S0004,4598-XLKNJ,1,Offer C,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal
S0005,4846-WHAFZ,1,Offer C,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
S0006,4412-YLTKF,0,Offer C,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal
S0007,0390-DCFDQ,1,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check
S0008,3445-HXXGF,6,Offer B,No,No,Yes,DSL,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal
S0009,2656-FMOKZ,0,Offer D,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check
S0010,2070-FNEXE,0,Offer E,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal
S0011,0094-OIFMO,0,Offer D,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal
S0012,9947-OTFQU,0,Offer D,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
S0013,9514-JDSKI,1,Offer E,No,No,Yes,DSL,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal
S0014,7273-TEFQD,0,Offer E,No,No,Yes,DSL,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal
S0015,3606-TWKGI,0,Offer D,Yes,Yes,Yes,Cable,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal
S0016,4385-GZQXV,0,Offer D,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal
S0017,3488-PGMQJ,0,None,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
S0018,7534-BFESC,0,Offer C,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
S0019,8098-LLAZX,0,Offer E,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal
S0020,0265-EDXBD,2,Offer C,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
S0021,2840-XANRC,1,Offer C,Yes,No,Yes,Cable,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal
S0022,5020-ZSTTY,0,Offer B,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal
S0023,5804-LEPIM,0,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
S0024,0623-IIHUG,0,None,No,No,Yes,Cable,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
S0025,9057-MSWCO,0,None,No,No,Yes,Cable,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card
S0026,4895-TMWIR,1,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check
S0027,0533-BNWKF,2,Offer B,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal
S0028,0334-GDDSO,0,Offer E,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
S0029,5564-NEMQO,0,Offer E,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal
S0030,6235-VDHOM,0,Offer E,No,No,Yes,DSL,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal
S0031,5609-CEBID,0,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal
S0032,5956-VKDTT,4,Offer E,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
S0033,0257-ZESQC,2,None,Yes,No,Yes,Cable,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
S0034,2865-TCHJW,0,None,Yes,Yes,Yes,Cable,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
S0035,5192-EBGOV,0,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
